ITEM_NO,lot_number,ORDER_NUMBER,TEST_TIME,EQUIPMENT_CODE,LINE_CODE,ATTRIBUTE_VALUE,PM,ISC,IPM,VOC,VPM,FF,EFF,RS,RSH,AMBIENTTEMP,SENSORTEMP,COEF_PMAX,COEF_ISC,COEF_IMAX,COEF_VOC,COEF_VMAX,COEF_FF,DEC_CTM,ATTR_1,PS_CODE,PS_ITEM_NO,PM_NAME,PS_SUBCODE,IS_DEFAULT,IS_PRINT,PRINT_TIME,PRINT_COUNT,CALIBRATE_TIME,CALIBRATION_NO,CellSUPPLIER,GlassSUPPLIER,EVASUPPLIER,BackplaneSUPPLIER,HLTSUPPLIER,
10,422112I6101770,1MO-17542B-GNKC-02,2017-10-13 0:01:06,MBTST-IVT03,102B-C,EMCY2010,325.3860,9.0986,8.6032,46.3058,37.8216,0.7723,0.1988,0.5466,489.3741,25,26.0625,325.3860,9.0986,8.6032,46.3058,37.8216,0.7723,98.26%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 22:18:51,JZ-P72-1187,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
11,422112I6102659,1MO-17542B-GNKC-02,2017-10-13 0:01:09,MBTST-IVT01,102B-A,EMCY2002,325.8998,9.1569,8.6326,46.1911,37.7524,0.7705,0.1680,0.5476,261.4120,25.1,25.8125,325.8998,9.1569,8.6326,46.1911,37.7524,0.7705,98.93%,18.8,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 23:47:26,JZ-P72-5107-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
12,422112I6102286,1MO-17542B-GNKC-02,2017-10-13 0:01:09,MBTST-IVT02,102B-B,EMCY2006,326.5439,9.1541,8.6359,46.2008,37.8125,0.7721,0.1683,0.5312,514.1273,25.3,26.125,326.5439,9.1541,8.6359,46.2008,37.8125,0.7721,98.60%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 22:14:28,JZ-P72-5107,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
13,422112I6104300,1MO-17542B-GNKC-01,2017-10-13 0:01:30,MATST-IVT03,102A-C,EMCY1007,324.7460,9.1198,8.6040,46.1443,37.7438,0.7717,0.1674,0.5385,278.1582,26.4,27.625,324.7460,9.1198,8.6040,46.1443,37.7438,0.7717,98.58%,18.8,DFRS72P,2,320W,I2,是,否,null,0,2017-10-12 23:42:16,JZ-P72-0983-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
14,422112I6104300,1MO-17542B-GNKC-01,2017-10-13 0:01:30,MATST-IVT03,102A-C,EMCY1007,324.7460,9.1198,8.6040,46.1443,37.7438,0.7717,0.1674,0.5385,278.1582,26.4,27.625,324.7460,9.1198,8.6040,46.1443,37.7438,0.7717,98.58%,18.8,DFRS72P,2,320W,I2,是,否,null,0,2017-10-12 23:42:16,JZ-P72-0983-3,晋能清洁能源科技有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
15,1251820110708,1MO-17090039,2017-10-13 0:01:34,MATST-IVT01,102A-A,EMCY1003,303.6082,9.9912,9.4132,39.6231,32.2535,0.7669,0.1565,0.4298,145.6572,25.6,26.9375,303.6100,9.9912,9.4132,39.6231,32.2535,0.7669,98.08%,21.30,JK60M,2,300W,α,是,否,null,0,2017-10-12 23:50:10,JZ-M60-2035-1,晋能清洁能源科技有限公司,陕西拓日新能源科技有限公司, 南京旭博科技发展有限公司,台虹科技（昆山）有限公司, 无锡市斯威克科技有限公司,
16,422112I6104391,1MO-17542B-GNKC-01,2017-10-13 0:01:58,MATST-IVT03,102A-C,EMCY1008,324.3639,9.0779,8.5717,46.2064,37.8414,0.7733,0.1672,0.5285,705.9614,26.8,27.625,324.3639,9.0779,8.5717,46.2064,37.8414,0.7733,98.47%,18.8,DFRS72P,2,320W,I1,是,否,null,0,2017-10-12 23:42:16,JZ-P72-0983-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
17,422112I6101793,1MO-17542B-GNKC-02,2017-10-13 0:02:04,MBTST-IVT03,102B-C,EMCY2008,325.8600,9.1116,8.6164,46.1991,37.8185,0.7741,0.1991,0.5294,411.1023,25,26.0625,325.8600,9.1116,8.6164,46.1991,37.8185,0.7741,98.40%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 22:18:51,JZ-P72-1187,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
18,1251820110718,1MO-17090039,2017-10-13 0:02:09,MATST-IVT01,102A-A,EMCY1003,303.9050,9.9254,9.4066,39.6038,32.3078,0.7731,0.1566,0.4239,255.5573,25.4,26.9375,303.9100,9.9254,9.4066,39.6038,32.3078,0.7731,98.18%,21.30,JK60M,2,300W,α,是,否,null,0,2017-10-12 23:50:10,JZ-M60-2035-1,晋能清洁能源科技有限公司,陕西拓日新能源科技有限公司, 南京旭博科技发展有限公司,台虹科技（昆山）有限公司, 无锡市斯威克科技有限公司,
19,422112I6102699,1MO-17542B-GNKC-02,2017-10-13 0:02:17,MBTST-IVT01,102B-A,EMCY2003,324.1088,9.1354,8.6233,46.0983,37.5851,0.7696,0.1670,0.5533,436.1053,25.2,25.8125,324.1088,9.1354,8.6233,46.0983,37.5851,0.7696,98.39%,18.8,DFRS72P,2,320W,I2,是,否,null,0,2017-10-12 23:47:26,JZ-P72-5107-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
20,422112I6104495,1MO-17542B-GNKC-01,2017-10-13 0:02:19,MATST-IVT03,102A-C,EMCY1008,325.3813,9.1386,8.6061,46.1735,37.8083,0.7711,0.1677,0.5306,379.2606,26.8,27.6875,325.3813,9.1386,8.6061,46.1735,37.8083,0.7711,98.78%,18.8,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 23:42:16,JZ-P72-0983-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
21,1251820110693,1MO-17090039,2017-10-13 0:02:36,MATST-IVT01,102A-A,EMCY1003,301.9340,9.8853,9.3942,39.6049,32.1405,0.7712,0.1556,0.4367,246.1068,25.7,26.9375,301.9300,9.8853,9.3942,39.6049,32.1405,0.7712,97.54%,21.30,JK60M,1,295W,α,是,否,null,0,2017-10-12 23:50:10,JZ-M60-2035-1,晋能清洁能源科技有限公司,陕西拓日新能源科技有限公司, 南京旭博科技发展有限公司,台虹科技（昆山）有限公司, 无锡市斯威克科技有限公司,
22,422112I6102262,1MO-17542B-GNKC-02,2017-10-13 0:02:37,MBTST-IVT02,102B-B,EMCY2006,326.8241,9.1718,8.6630,46.1818,37.7266,0.7716,0.1684,0.5359,583.3955,25.2,26.125,326.8241,9.1718,8.6630,46.1818,37.7266,0.7716,98.69%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 22:14:28,JZ-P72-5107,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
23,422110I6107008,1MO-17542B-GNKC-01,2017-10-13 0:02:51,MATST-IVT03,102A-C,EMCY1007,322.3492,9.0765,8.5664,46.0456,37.6297,0.7713,0.1661,0.5379,835.7148,26.9,27.625,322.3492,9.0765,8.5664,46.0456,37.6297,0.7713,97.86%,18.8,DFRS72P,2,320W,I1,是,否,null,0,2017-10-12 23:42:16,JZ-P72-0983-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
24,1251820110571,1MO-17090039,2017-10-13 0:03:04,MATST-IVT01,102A-A,EMCY1002,305.3229,9.9459,9.4197,39.7580,32.4133,0.7721,0.1574,0.4265,406.5763,25.5,26.9375,304.4100,9.9459,9.4197,39.6387,32.3161,0.7721,97.27%,21.60,JK60M,2,300W,α,是,否,null,0,2017-10-12 23:50:10,JZ-M60-2035-1,晋能清洁能源科技有限公司,陕西拓日新能源科技有限公司, 南京旭博科技发展有限公司,台虹科技（昆山）有限公司, 无锡市斯威克科技有限公司,
25,422111I6106606,1MO-17542B-GNKC-02,2017-10-13 0:03:17,MBTST-IVT02,102B-B,EMCY2006,325.5818,9.1425,8.6271,46.1926,37.7394,0.7709,0.1678,0.5384,515.5595,25.3,26.125,325.5818,9.1425,8.6271,46.1926,37.7394,0.7709,98.31%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 22:14:28,JZ-P72-5107,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
