ITEM_NO,lot_number,ORDER_NUMBER,TEST_TIME,EQUIPMENT_CODE,LINE_CODE,ATTRIBUTE_VALUE,PM,ISC,IPM,VOC,VPM,FF,EFF,RS,RSH,AMBIENTTEMP,SENSORTEMP,COEF_PMAX,COEF_ISC,COEF_IMAX,COEF_VOC,COEF_VMAX,COEF_FF,DEC_CTM,ATTR_1,PS_CODE,PS_ITEM_NO,PM_NAME,PS_SUBCODE,IS_DEFAULT,IS_PRINT,PRINT_TIME,PRINT_COUNT,CALIBRATE_TIME,CALIBRATION_NO,CellSUPPLIER,GlassSUPPLIER,EVASUPPLIER,BackplaneSUPPLIER,HLTSUPPLIER,
46,422112I6102129,1MO-17542B-GNKC-02,2017-10-13 0:05:43,MBTST-IVT02,102B-B,EMCY2004,326.8304,9.1747,8.6562,46.2410,37.7567,0.7704,0.1684,0.5484,398.3442,25.6,26.125,326.8304,9.1747,8.6562,46.2410,37.7567,0.7704,98.69%,18.90,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 22:14:28,JZ-P72-5107,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
47,422112I6102748,1MO-17542B-GNKC-02,2017-10-13 0:06:04,MBTST-IVT01,102B-A,EMCY2002,324.5176,9.1258,8.6157,46.1283,37.6659,0.7709,0.1672,0.5445,449.4862,25.4,25.8125,324.5176,9.1258,8.6157,46.1283,37.6659,0.7709,98.51%,18.8,DFRS72P,2,320W,I2,是,否,null,0,2017-10-12 23:47:26,JZ-P72-5107-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
48,422112I6101805,1MO-17542B-GNKC-02,2017-10-13 0:06:13,MBTST-IVT03,102B-C,EMCY2008,326.4046,9.1362,8.6347,46.3014,37.8013,0.7716,0.1994,0.5500,959.7247,24.9,26.0625,326.4046,9.1362,8.6347,46.3014,37.8013,0.7716,98.56%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 22:18:51,JZ-P72-1187,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
49,422112I6102366,1MO-17542B-GNKC-02,2017-10-13 0:06:14,MBTST-IVT02,102B-B,EMCY2006,326.1038,9.1600,8.6393,46.2138,37.7467,0.7704,0.1681,0.5467,590.0232,25.5,26.125,326.1038,9.1600,8.6393,46.2138,37.7467,0.7704,98.47%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 22:14:28,JZ-P72-5107,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
50,422112I6104489,1MO-17542B-GNKC-01,2017-10-13 0:06:27,MATST-IVT03,102A-C,EMCY1009,326.0891,9.1192,8.6106,46.2654,37.8705,0.7729,0.1681,0.5371,508.4683,26.6,27.625,326.0890,9.1192,8.6106,46.2654,37.8705,0.7729,98.99%,18.8,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 23:42:16,JZ-P72-0983-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
51,422112I6102295,1MO-17542B-GNKC-02,2017-10-13 0:06:30,MBTST-IVT01,102B-A,EMCY2004,324.8098,9.1326,8.6163,46.1592,37.6973,0.7705,0.1674,0.5506,240.3397,25.5,25.8125,324.8098,9.1326,8.6163,46.1592,37.6973,0.7705,98.08%,18.9,DFRS72P,2,320W,I2,是,否,null,0,2017-10-12 23:47:26,JZ-P72-5107-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
52,422112I6101794,1MO-17542B-GNKC-02,2017-10-13 0:06:39,MBTST-IVT03,102B-C,EMCY2010,326.8460,9.1475,8.6224,46.2971,37.9068,0.7718,0.1997,0.5327,161.7394,25.2,26.0625,326.8460,9.1475,8.6224,46.2971,37.9068,0.7718,98.70%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 22:18:51,JZ-P72-1187,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
53,422112I6102280,1MO-17542B-GNKC-02,2017-10-13 0:07:02,MBTST-IVT02,102B-B,EMCY2006,325.9925,9.1542,8.6455,46.1827,37.7067,0.7711,0.1680,0.5491,699.3569,25.6,26.0625,325.9925,9.1542,8.6455,46.1827,37.7067,0.7711,98.44%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 22:14:28,JZ-P72-5107,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
54,1251820110731,1MO-17090039,2017-10-13 0:07:06,MATST-IVT01,102A-A,EMCY1001,302.2269,9.8858,9.3981,39.5188,32.1583,0.7736,0.1558,0.4320,492.8601,25.9,26.9375,302.2300,9.8858,9.3981,39.5188,32.1583,0.7736,97.64%,21.30,JK60M,2,300W,β,是,否,null,0,2017-10-12 23:50:10,JZ-M60-2035-1,晋能清洁能源科技有限公司,陕西拓日新能源科技有限公司, 南京旭博科技发展有限公司,台虹科技（昆山）有限公司, 无锡市斯威克科技有限公司,
55,422112I6102726,1MO-17542B-GNKC-02,2017-10-13 0:07:10,MBTST-IVT01,102B-A,EMCY2006,324.9946,9.1255,8.6338,46.1422,37.6421,0.7718,0.1675,0.5513,502.1691,25.3,25.8125,324.9946,9.1255,8.6338,46.1422,37.6421,0.7718,98.66%,18.8,DFRS72P,2,320W,I2,是,否,null,0,2017-10-12 23:47:26,JZ-P72-5107-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
56,422112I6101777,1MO-17542B-GNKC-02,2017-10-13 0:07:15,MBTST-IVT03,102B-C,EMCY2010,326.3324,9.1159,8.6178,46.2830,37.8672,0.7735,0.1994,0.5411,279.3826,25,26,326.3324,9.1159,8.6178,46.2830,37.8672,0.7735,98.54%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 22:18:51,JZ-P72-1187,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
57,422112I6104476,1MO-17542B-GNKC-01,2017-10-13 0:07:23,MATST-IVT03,102A-C,EMCY1009,326.3034,9.1481,8.6201,46.2320,37.8539,0.7715,0.1682,0.5315,371.9353,26.2,27.625,326.3034,9.1481,8.6201,46.2320,37.8539,0.7715,99.06%,18.8,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 23:42:16,JZ-P72-0983-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
58,1251820110705,1MO-17090039,2017-10-13 0:07:37,MATST-IVT01,102A-A,EMCY1001,302.9741,9.9596,9.4103,39.7188,32.1960,0.7659,0.1561,0.4451,438.7707,26.1,26.9375,302.9700,9.9596,9.4103,39.7188,32.1960,0.7659,97.88%,21.30,JK60M,2,300W,α,是,否,null,0,2017-10-12 23:50:10,JZ-M60-2035-1,晋能清洁能源科技有限公司,陕西拓日新能源科技有限公司, 南京旭博科技发展有限公司,台虹科技（昆山）有限公司, 无锡市斯威克科技有限公司,
59,422112I6102744,1MO-17542B-GNKC-02,2017-10-13 0:07:48,MBTST-IVT01,102B-A,EMCY2001,325.0432,9.1334,8.6283,46.1594,37.6719,0.7710,0.1675,0.5500,684.4157,25.5,25.8125,325.0432,9.1334,8.6283,46.1594,37.6719,0.7710,98.67%,18.8,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 23:47:26,JZ-P72-5107-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
60,422112I6101789,1MO-17542B-GNKC-02,2017-10-13 0:08:06,MBTST-IVT03,102B-C,EMCY2010,325.4222,9.1451,8.6186,46.2673,37.7583,0.7691,0.1988,0.5469,252.7650,25,26,325.4222,9.1451,8.6186,46.2673,37.7583,0.7691,98.27%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 22:18:51,JZ-P72-1187,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
61,422112I6104490,1MO-17542B-GNKC-01,2017-10-13 0:08:18,MATST-IVT03,102A-C,EMCY1008,324.7405,9.1353,8.5923,46.1448,37.7945,0.7704,0.1674,0.5295,254.3810,26.2,27.625,324.7405,9.1353,8.5923,46.1448,37.7945,0.7704,98.58%,18.8,DFRS72P,2,320W,I1,是,否,null,0,2017-10-12 23:42:16,JZ-P72-0983-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
62,1251820110703,1MO-17090039,2017-10-13 0:08:20,MATST-IVT01,102A-A,EMCY1001,303.8655,9.9359,9.4225,39.7268,32.2489,0.7698,0.1566,0.4411,287.4492,26,26.9375,303.8700,9.9359,9.4225,39.7268,32.2489,0.7698,98.17%,21.30,JK60M,2,300W,α,是,否,null,0,2017-10-12 23:50:10,JZ-M60-2035-1,晋能清洁能源科技有限公司,陕西拓日新能源科技有限公司, 南京旭博科技发展有限公司,台虹科技（昆山）有限公司, 无锡市斯威克科技有限公司,
63,422112I6102747,1MO-17542B-GNKC-02,2017-10-13 0:08:26,MBTST-IVT01,102B-A,EMCY2001,324.3986,9.1451,8.6291,46.0979,37.5937,0.7695,0.1672,0.5439,256.3037,25.4,25.8125,324.3986,9.1451,8.6291,46.0979,37.5937,0.7695,98.48%,18.8,DFRS72P,2,320W,I2,是,否,null,0,2017-10-12 23:47:26,JZ-P72-5107-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
64,422112I6102319,1MO-17542B-GNKC-02,2017-10-13 0:08:32,MBTST-IVT03,102B-C,EMCY2007,326.0252,9.0994,8.6056,46.2406,37.8851,0.7748,0.1992,0.5283,309.8773,25.3,26,326.0252,9.0994,8.6056,46.2406,37.8851,0.7748,98.45%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 22:18:51,JZ-P72-1187,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
65,422112I6103358,1MO-17542B-GNKC-01,2017-10-13 0:08:44,MATST-IVT02,102A-B,EMCY1004,327.1064,9.1643,8.6482,46.1741,37.8238,0.7730,0.1686,0.5372,313.3857,25.2,26.8125,327.1064,9.1643,8.6482,46.1741,37.8238,0.7730,98.77%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-13 0:07:43,JZ-P72-4007-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
66,422112I6104332,1MO-17542B-GNKC-01,2017-10-13 0:08:52,MATST-IVT03,102A-C,EMCY1009,325.6844,9.1485,8.6230,46.1704,37.7694,0.7710,0.1678,0.5410,350.3402,25.7,27.6875,325.6844,9.1485,8.6230,46.1704,37.7694,0.7711,98.87%,18.8,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 23:42:16,JZ-P72-0983-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
67,422112I6102745,1MO-17542B-GNKC-02,2017-10-13 0:08:56,MBTST-IVT01,102B-A,EMCY2001,324.3690,9.1432,8.6235,46.1076,37.6144,0.7694,0.1672,0.5509,202.0667,25.2,25.8125,324.3690,9.1432,8.6235,46.1076,37.6144,0.7694,98.47%,18.8,DFRS72P,2,320W,I2,是,否,null,0,2017-10-12 23:47:26,JZ-P72-5107-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
68,1251820110712,1MO-17090039,2017-10-13 0:09:00,MATST-IVT01,102A-A,EMCY1001,303.2501,9.9433,9.4079,39.5978,32.2335,0.7702,0.1563,0.4317,332.1203,25.8,26.9375,303.2500,9.9433,9.4079,39.5978,32.2335,0.7702,97.97%,21.30,JK60M,2,300W,α,是,否,null,0,2017-10-12 23:50:10,JZ-M60-2035-1,晋能清洁能源科技有限公司,陕西拓日新能源科技有限公司, 南京旭博科技发展有限公司,台虹科技（昆山）有限公司, 无锡市斯威克科技有限公司,
69,1251820110721,1MO-17090039,2017-10-13 0:09:37,MATST-IVT01,102A-A,EMCY1002,301.9577,9.9478,9.4170,39.5439,32.0651,0.7676,0.1556,0.4376,352.1542,25.5,26.9375,301.9600,9.9478,9.4170,39.5439,32.0651,0.7676,97.55%,21.30,JK60M,1,295W,α,是,否,null,0,2017-10-12 23:50:10,JZ-M60-2035-1,晋能清洁能源科技有限公司,陕西拓日新能源科技有限公司, 南京旭博科技发展有限公司,台虹科技（昆山）有限公司, 无锡市斯威克科技有限公司,
70,422112I6101808,1MO-17542B-GNKC-02,2017-10-13 0:09:42,MBTST-IVT03,102B-C,EMCY2009,326.9410,9.1747,8.6248,46.3213,37.9072,0.7693,0.1997,0.5349,216.0418,25.2,26,326.9410,9.1747,8.6248,46.3213,37.9072,0.7693,98.72%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-12 22:18:51,JZ-P72-1187,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
71,422112I6103374,1MO-17542B-GNKC-01,2017-10-13 0:09:59,MATST-IVT02,102A-B,EMCY1004,326.8773,9.1432,8.6462,46.1351,37.8059,0.7749,0.1685,0.5244,506.8293,25.4,26.8125,326.8773,9.1432,8.6462,46.1351,37.8059,0.7749,98.71%,18.9,DFRS72P,3,325W,I1,是,否,null,0,2017-10-13 0:07:43,JZ-P72-4007-3,东方日升新能源股份有限公司,彩虹集团新能源股份有限公司,常州斯威克光伏新材料有限公司,苏州中来光伏新材股份有限公司,浙江双宇电子科技有限公司,
